photo_id,date,same_date_sequence,pose_bin,pitch,yaw,roll,source_filename,source_relative_path,geometry_status,segmentation_status,uv_status,combined_visible_fraction,skin_mask_coverage,uv_observed_coverage,chronology_index_global,chronology_index_in_pose
1998_01_01,1998-01-01,1,left_light,16.67360496520996,-13.23037338256836,-6.434343338012695,1998_01_01.jpg,1998_01_01.jpg,valid,valid,valid,0.6231202217928253,0.24464130404286957,0.5487874348958334,1,1
2000_01_01,2000-01-01,1,left_light,25.197837829589844,-11.982656478881836,-11.20884895324707,2000_01_01.jpg,2000_01_01.jpg,valid,valid,valid,0.5715925957041642,0.29195488721804513,0.5167422824435763,2,2
2005_01_18,2005-01-18,1,left_profile,20.05532455444336,-64.27272033691406,-22.4151554107666,2005_01_18.jpg,2005_01_18.jpg,valid,valid,valid,0.49169677112212606,0.1677109375,0.4169633653428819,3,1
2010_01_05,2010-01-05,1,right_mid,24.435598373413086,27.68985939025879,3.825119972229004,2010_01_05.jpg,2010_01_05.jpg,valid,valid,valid,0.5691002268335714,0.2533984375,0.5157691107855903,4,1
2015_01_12,2015-01-12,1,left_deep,22.655752182006836,-44.9862060546875,-9.298260688781738,2015_01_12.jpg,2015_01_12.jpg,valid,valid,valid,0.5456887619367666,0.274953125,0.4776645236545139,5,1
