label,n,aperture_shrinkage_mean,aperture_shrinkage_std,aperture_shrinkage_median,eyelid_thickness_mean,eyelid_thickness_std,eyelid_thickness_median,lid_smoothness_mean,lid_smoothness_std,lid_smoothness_median,eyelid_edge_sharpness_mean,eyelid_edge_sharpness_std,eyelid_edge_sharpness_median,eye_symmetry_anomaly_mean,eye_symmetry_anomaly_std,eye_symmetry_anomaly_median,sclera_iris_boundary_mean,sclera_iris_boundary_std,sclera_iris_boundary_median,pupil_apparent_size_mean,pupil_apparent_size_std,pupil_apparent_size_median,orbit_area_ratio_mean,orbit_area_ratio_std,orbit_area_ratio_median,periocular_lbp_entropy_mean,periocular_lbp_entropy_std,periocular_lbp_entropy_median,eyelid_sss_mean,eyelid_sss_std,eyelid_sss_median,iris_visible_ratio_mean,iris_visible_ratio_std,iris_visible_ratio_median,iris_center_offset_mean,iris_center_offset_std,iris_center_offset_median,sclera_asymmetry_mean,sclera_asymmetry_std,sclera_asymmetry_median,landmark_discrepancy_mean,landmark_discrepancy_std,landmark_discrepancy_median,specular_brdf_mean,specular_brdf_std,specular_brdf_median,eye_contour_divergence_mean,eye_contour_divergence_std,eye_contour_divergence_median,subsurface_violation_mean,subsurface_violation_std,subsurface_violation_median,ear_texture_cliff_mean,ear_texture_cliff_std,ear_texture_cliff_median,skin_tone_mismatch_mean,skin_tone_mismatch_std,skin_tone_mismatch_median,combined_mean_mean,combined_mean_std,combined_mean_median,combined_median_mean,combined_median_std,combined_median_median,combined_max_mean,combined_max_std,combined_max_median,eye_mean_mean,eye_mean_std,eye_mean_median,cross_mean_mean,cross_mean_std,cross_mean_median,n_natural,n_unnatural
real,75,0.7719,0.1652,0.8016,0.5885,0.2066,0.6,0.2327,0.3423,0.0,0.7665,0.2377,0.7939,0.682,0.4194,0.9521,0.506,0.4709,0.375,0.4463,0.3515,0.3513,0.1208,0.2653,0.0,0.3941,0.4228,0.2151,0.2797,0.3795,0.0,0.1257,0.2716,0.0,0.3836,0.3497,0.3508,0.6495,0.4208,1.0,0.7602,0.1886,0.7771,0.3762,0.2512,0.3418,0.5105,0.255,0.5198,0.29,0.1567,0.3258,0.3907,0.3619,0.3465,0.4517,0.3546,0.5656,0.3736,0.2014,0.4322,0.3517,0.2456,0.3639,0.8133,0.3923,1.0,0.3721,0.2125,0.4053,0.3767,0.2193,0.4278,8,67
silicone,41,0.9736,0.045,1.0,0.6537,0.1809,0.65,0.5402,0.3598,0.5201,0.9311,0.1122,1.0,0.8629,0.2696,1.0,0.751,0.3968,1.0,0.9049,0.2163,1.0,0.2679,0.268,0.2336,0.9041,0.2291,1.0,0.1366,0.257,0.0,0.4608,0.4344,0.3985,0.8517,0.2604,1.0,0.6696,0.454,1.0,0.8922,0.1188,0.934,0.342,0.2752,0.2853,0.583,0.1837,0.5559,0.1998,0.1461,0.2315,0.6145,0.302,0.6773,0.6365,0.3057,0.8046,0.6252,0.1247,0.6227,0.7308,0.1988,0.7571,0.9756,0.1562,1.0,0.6685,0.1513,0.6656,0.5314,0.1409,0.564,0,41
