landmark_id,x,y,z,visible,vertex_index
0,-0.3759530484676361,0.43064039945602417,0.46176010370254517,1,2476
1,-0.3170035481452942,0.40894776582717896,0.47649067640304565,1,3124
2,-0.2794046998023987,0.40200939774513245,0.4796229898929596,1,3513
3,-0.23852959275245667,0.39495036005973816,0.4748741686344147,1,3900
4,-0.20990391075611115,0.3917808532714844,0.4661111533641815,1,4158
5,-0.18484099209308624,0.38652968406677246,0.4490116834640503,0,4417
6,-0.14550668001174927,0.378511905670166,0.42394667863845825,1,4805
7,-0.12216241657733917,0.3863432705402374,0.4096655547618866,1,5062
8,-0.10166942328214645,0.38708195090293884,0.3972022831439972,1,5320
9,-0.08888556808233261,0.39509403705596924,0.3642268180847168,1,5704
10,-0.07553000003099442,0.4068458378314972,0.33213579654693604,0,6216
11,-0.41530197858810425,0.4420398771762848,0.47557833790779114,1,1955
12,-0.3485787510871887,0.4790123403072357,0.4884992837905884,0,2985
13,-0.3014167547225952,0.5151624083518982,0.5011324286460876,1,3499
14,-0.2567211985588074,0.5371192097663879,0.5004578232765198,1,3886
15,-0.2149331122636795,0.5600500106811523,0.48979121446609497,0,4272
16,-0.18898308277130127,0.5660985112190247,0.4762111008167267,0,4530
17,-0.15848222374916077,0.560731828212738,0.4482991397380829,0,4918
18,-0.13373981416225433,0.5521954298019409,0.42413944005966187,1,5306
19,-0.12538529932498932,0.5255574584007263,0.4044133126735687,1,5437
20,-0.1107824370265007,0.4839593768119812,0.38002780079841614,1,5568
21,-0.08915208280086517,0.4557848274707794,0.3564450442790985,1,5826
22,0.5879148244857788,0.441785603761673,-0.18481560051441193,0,14197
23,0.5851079225540161,0.41926610469818115,-0.12295841425657272,0,13298
24,0.5593365430831909,0.40548986196517944,-0.08037814497947693,1,12784
25,0.5366220474243164,0.39725497364997864,-0.04480190575122833,1,12397
26,0.5178523659706116,0.3887748718261719,-0.023046672344207764,1,12140
27,0.49332642555236816,0.39281946420669556,-0.002801098395138979,1,11881
28,0.4650619328022003,0.39298638701438904,0.015616744756698608,1,11623
29,0.4221329092979431,0.38787251710891724,0.032139457762241364,1,11237
30,0.40023061633110046,0.39602741599082947,0.04234243929386139,1,10978
31,0.36686426401138306,0.4042205214500427,0.04964020103216171,1,10588
32,0.3355652987957001,0.4218032956123352,0.05161922797560692,0,10202
33,0.6282984018325806,0.4548813998699188,-0.18721231818199158,0,14192
34,0.5994736552238464,0.4873694181442261,-0.13545480370521545,1,13287
35,0.5816996693611145,0.5151599645614624,-0.09221035242080688,1,12770
36,0.5624454617500305,0.537875771522522,-0.05489232391119003,1,12383
37,0.5441389679908752,0.5503178834915161,-0.028008796274662018,0,12125
38,0.5234218239784241,0.5647731423377991,0.0010386013891547918,0,11737
39,0.49770668148994446,0.5601530075073242,0.01421047281473875,0,11480
40,0.46822741627693176,0.5538045167922974,0.022846465930342674,0,11094
41,0.4331285059452057,0.5294310450553894,0.03225424513220787,0,10838
42,0.40542811155319214,0.5017296075820923,0.038522493094205856,1,10710
43,0.36808791756629944,0.46052899956703186,0.04792768135666847,1,10453
44,-0.606127142906189,0.5719361901283264,0.5221236944198608,1,28114
45,-0.5130907893180847,0.6445482969284058,0.5602543950080872,1,28536
46,-0.3980196416378021,0.6915991902351379,0.573797345161438,1,28821
47,-0.25633516907691956,0.7173973917961121,0.5792453289031982,1,29084
48,-0.14140744507312775,0.7147207260131836,0.5699569582939148,1,29267
49,-0.025319289416074753,0.7008199691772461,0.5412734150886536,1,29411
50,0.0570724718272686,0.6703459620475769,0.49939993023872375,1,29550
51,-0.48632070422172546,0.5944502949714661,0.582598865032196,1,2322
52,-0.3687240183353424,0.6297783255577087,0.6040883660316467,1,3355
53,-0.2504085600376129,0.6216478943824768,0.593346357345581,1,4259
54,-0.13371188938617706,0.623651921749115,0.5522826910018921,1,5161
55,-0.050303950905799866,0.6189520359039307,0.49594324827194214,1,5806
56,0.051264386624097824,0.6154026389122009,0.4525062143802643,1,6441
57,0.733853816986084,0.5994921922683716,-0.36529022455215454,0,31796
58,0.7366636395454407,0.654776930809021,-0.2652367651462555,1,31376
59,0.7032366394996643,0.7015498280525208,-0.1407032310962677,1,31055
60,0.6493222117424011,0.7245376110076904,-0.014072935096919537,1,30787
61,0.5865976214408875,0.7066642642021179,0.10797715187072754,1,30571
62,0.5091124176979065,0.6838491559028625,0.2015405148267746,1,30427
63,0.4337635636329651,0.6716156601905823,0.268343061208725,1,30288
64,0.7448666095733643,0.5962016582489014,-0.21125653386116028,0,14044
65,0.7156082391738892,0.6198472380638123,-0.09503137320280075,0,13013
66,0.655215859413147,0.6176972985267639,0.0234748013317585,1,11981
67,0.5643779635429382,0.6030306220054626,0.09698564559221268,0,11078
68,0.48200076818466187,0.6085907816886902,0.1629335880279541,0,10432
69,0.40119272470474243,0.5947744250297546,0.23645704984664917,0,9808
