landmark_id,x,y,z,visible,vertex_index
0,-0.6936554312705994,0.3109290897846222,-0.5252114534378052,1,16743
1,-0.6706604361534119,0.21485748887062073,-0.5433367490768433,1,16876
2,-0.658364474773407,0.1227114200592041,-0.546833872795105,1,16885
3,-0.6494852304458618,0.03704385459423065,-0.5254039168357849,1,16893
4,-0.6293296813964844,-0.043128348886966705,-0.517009437084198,0,16652
5,-0.6049498319625854,-0.1312662959098816,-0.5068148970603943,0,16279
6,-0.580112874507904,-0.22102560102939606,-0.4823453724384308,1,16262
7,-0.5623096823692322,-0.31582653522491455,-0.4477187991142273,0,16304
8,-0.5416231751441956,-0.4021715521812439,-0.41336366534233093,0,32151
9,-0.5118420124053955,-0.4828147292137146,-0.352711945772171,0,32511
10,-0.46656811237335205,-0.5496096014976501,-0.29449692368507385,0,32829
11,-0.40607279539108276,-0.6116725206375122,-0.1866142451763153,0,33141
12,-0.31942856311798096,-0.6625595092773438,-0.07821741700172424,0,33400
13,-0.23294411599636078,-0.7056767344474792,0.03655894845724106,1,33586
14,-0.15151797235012054,-0.7341297268867493,0.12608300149440765,0,33704
15,-0.051790639758110046,-0.7520171999931335,0.14797984063625336,0,33794
16,0.0009412169456481934,-0.7466821670532227,0.1690303087234497,0,33838
17,0.053433068096637726,-0.7479574084281921,0.14499178528785706,0,33884
18,0.154602512717247,-0.7210806012153625,0.13631121814250946,0,33973
19,0.23323947191238403,-0.6999201774597168,0.016838062554597855,0,34097
20,0.3190504312515259,-0.6506068706512451,-0.08085917681455612,0,34290
21,0.4022735357284546,-0.5973526239395142,-0.1978980004787445,0,34561
22,0.4612922966480255,-0.5340091586112976,-0.296380877494812,0,34879
23,0.5099222660064697,-0.47037994861602783,-0.36512017250061035,0,35202
24,0.5472697615623474,-0.3849826753139496,-0.42065730690956116,0,35613
25,0.5705259442329407,-0.29838311672210693,-0.4560266435146332,0,27801
26,0.5895310640335083,-0.20352788269519806,-0.49229028820991516,0,27813
27,0.6156556606292725,-0.11049381643533707,-0.5113078951835632,0,27709
28,0.6355522871017456,-0.028531253337860107,-0.530917763710022,0,27447
29,0.6548042297363281,0.05656029284000397,-0.5201494097709656,0,27083
30,0.660484790802002,0.13946445286273956,-0.5369474291801453,0,27075
31,0.6737943887710571,0.2218739092350006,-0.5475830435752869,0,27196
32,0.6947677135467529,0.31487971544265747,-0.5266823768615723,0,27314
33,-0.4947161078453064,0.4033425748348236,0.05983772128820419,1,28111
34,-0.4054687023162842,0.4570502042770386,0.16556069254875183,1,28787
35,-0.29640069603919983,0.4746265411376953,0.24013493955135345,1,29177
36,-0.20427200198173523,0.47723764181137085,0.27493199706077576,1,29382
37,-0.1327620893716812,0.45347777009010315,0.2881796956062317,1,29549
38,-0.13803616166114807,0.4233078360557556,0.269336998462677,1,29526
39,-0.21427306532859802,0.41976696252822876,0.25432687997817993,0,5547
40,-0.30931758880615234,0.42526134848594666,0.2451041340827942,1,4515
41,-0.4178244471549988,0.4184035062789917,0.17911195755004883,0,2967
42,0.14184676110744476,0.4466606080532074,0.2905065715312958,1,30288
43,0.2156176120042801,0.4704180359840393,0.2764885127544403,1,30454
44,0.311109334230423,0.47043415904045105,0.24285390973091125,1,30662
45,0.4206562638282776,0.4575801193714142,0.1722484529018402,0,31056
46,0.5097901225090027,0.41230541467666626,0.060147009789943695,0,31716
47,0.4220018684864044,0.4179895222187042,0.18725323677062988,0,13141
48,0.31279444694519043,0.416113018989563,0.24689993262290955,1,11593
49,0.22945237159729004,0.41461557149887085,0.25680190324783325,1,30488
50,0.1501852571964264,0.4172407388687134,0.2788175642490387,1,30318
51,0.014405286870896816,0.2729369103908539,0.29824572801589966,1,8161
52,0.006607229821383953,0.18476611375808716,0.36835169792175293,1,8174
53,-0.004378157667815685,0.07115280628204346,0.45786795020103455,1,8185
54,-0.006314429454505444,-0.0030370429158210754,0.5148170590400696,1,8190
55,-0.05666792765259743,0.2365451455116272,0.24224787950515747,1,7082
56,-0.10658101737499237,0.029436636716127396,0.3480430841445923,1,6743
57,-0.1457304209470749,-0.045268766582012177,0.25904935598373413,1,5485
58,-0.10346093028783798,-0.12901481986045837,0.331100195646286,1,6637
59,-0.03871159255504608,-0.13569582998752594,0.396324098110199,1,7842
60,-0.006343018263578415,-0.16735832393169403,0.3965229094028473,1,8204
61,0.020233912393450737,-0.14113375544548035,0.3991977870464325,1,8562
62,0.09540785849094391,-0.14143006503582,0.33981993794441223,0,9762
63,0.14653439819812775,-0.05539175868034363,0.26698407530784607,0,10886
64,0.10729295015335083,0.025926802307367325,0.34892645478248596,0,9626
65,0.08229048550128937,0.23779447376728058,0.23676805198192596,0,9242
66,-0.35852953791618347,0.3034105598926544,0.1156793013215065,0,2215
67,-0.2917187511920929,0.35707271099090576,0.1736501306295395,1,3888
68,-0.24016863107681274,0.37327104806900024,0.18521954119205475,1,4661
69,-0.19043706357479095,0.33768972754478455,0.16864001750946045,0,5439
70,-0.1453307569026947,0.2838246524333954,0.15216585993766785,1,6215
71,-0.18988549709320068,0.2692103683948517,0.1791897416114807,1,5191
72,-0.24438990652561188,0.271261602640152,0.1813037097454071,1,4416
73,-0.2977185845375061,0.2771099805831909,0.16632775962352753,1,3642
74,-0.23439934849739075,0.33032286167144775,0.18646685779094696,1,4666
75,0.15843871235847473,0.2923237979412079,0.14038003981113434,0,10077
76,0.2166539877653122,0.34469538927078247,0.16956253349781036,1,10969
77,0.26311764121055603,0.37276455760002136,0.17581124603748322,0,11610
78,0.31705886125564575,0.35233190655708313,0.15169678628444672,1,12514
79,0.37709370255470276,0.3079955279827118,0.10997293144464493,0,14066
80,0.32465410232543945,0.28077617287635803,0.14923600852489471,1,12784
81,0.2639700472354889,0.2728783190250397,0.1679113805294037,1,11881
82,0.2149691879749298,0.27413350343704224,0.16449986398220062,1,11236
83,0.2452242374420166,0.32601696252822876,0.17446911334991455,1,11487
