family,group,module,metric_name,zone,side,views,source_spaces,scope,status,catalog_role,function_template,notes
F_mandible,mandible,mandible.py,jaw_R_bbox_area_ratio,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_R_bbox_volume_ratio,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_R_convexity_index,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_R_depth_curvature_proxy,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,jaw_R_icp_refined_residual,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_R_laplacian_curvature_proxy,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_R_normal_gradient_proxy,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_R_normal_variance,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_R_regional_mean_vertex_distance,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_R_regional_median_vertex_distance,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
