landmark_id,x,y,z,visible,vertex_index
0,-0.6637125015258789,0.31622427701950073,-0.48560649156570435,0,16743
1,-0.6346951723098755,0.22554868459701538,-0.5058973431587219,0,16876
2,-0.6206493377685547,0.13792383670806885,-0.517437219619751,0,16885
3,-0.612962543964386,0.05555972456932068,-0.5062217712402344,0,16893
4,-0.5965970754623413,-0.022945910692214966,-0.506219744682312,0,16652
5,-0.572435200214386,-0.10901329666376114,-0.5067083835601807,0,16279
6,-0.5499932765960693,-0.19489318132400513,-0.47994479537010193,0,16262
7,-0.533962607383728,-0.2856738567352295,-0.4429394006729126,0,16304
8,-0.5144743323326111,-0.3697255253791809,-0.4067487120628357,0,32151
9,-0.48941418528556824,-0.45042216777801514,-0.3442870080471039,0,32511
10,-0.4517056941986084,-0.5184142589569092,-0.28676462173461914,0,32829
11,-0.396365225315094,-0.5789811015129089,-0.1854361742734909,0,33141
12,-0.3146892189979553,-0.6277523040771484,-0.0922328531742096,0,33400
13,-0.2341080904006958,-0.668656587600708,0.0005848295986652374,0,33586
14,-0.15933109819889069,-0.6994749903678894,0.07179438322782516,0,33704
15,-0.07105011492967606,-0.7197291851043701,0.09244418144226074,0,33794
16,-0.025400064885616302,-0.7181007862091064,0.11233574897050858,0,33838
17,0.018967028707265854,-0.7219146490097046,0.09579245746135712,0,33884
18,0.10875479131937027,-0.6949513554573059,0.09139199554920197,1,33973
19,0.17731302976608276,-0.6666172742843628,0.001140311360359192,1,34097
20,0.2564738094806671,-0.6144626140594482,-0.07372425496578217,1,34290
21,0.34129083156585693,-0.5620192289352417,-0.1671687513589859,1,34561
22,0.4021337032318115,-0.4957599341869354,-0.25046274065971375,1,34879
23,0.45068371295928955,-0.4283536672592163,-0.31110793352127075,1,35202
24,0.4913247227668762,-0.343120276927948,-0.36215946078300476,1,35613
25,0.5174844264984131,-0.2589079439640045,-0.3978330194950104,1,27801
26,0.5378512144088745,-0.16747668385505676,-0.4378318786621094,0,27813
27,0.5629945397377014,-0.0786280483007431,-0.46689099073410034,0,27709
28,0.5853595733642578,-0.0007616952061653137,-0.4881524443626404,1,27447
29,0.6055899858474731,0.07628003507852554,-0.4709763526916504,1,27083
30,0.61350417137146,0.1529049277305603,-0.4760340750217438,1,27075
31,0.6340765357017517,0.23101705312728882,-0.47379612922668457,1,27196
32,0.6618705987930298,0.31989696621894836,-0.4506312906742096,1,27314
33,-0.4958688020706177,0.3830035924911499,0.05278037115931511,0,28111
34,-0.41023188829421997,0.46116894483566284,0.14391742646694183,0,28787
35,-0.30106228590011597,0.4750755727291107,0.2231421321630478,0,29177
36,-0.21384964883327484,0.45899710059165955,0.26317620277404785,1,29382
37,-0.14730486273765564,0.4235999584197998,0.28290149569511414,1,29549
38,-0.15046410262584686,0.39670783281326294,0.27046000957489014,0,29526
39,-0.22670915722846985,0.39820289611816406,0.2569931745529175,1,5547
40,-0.324070543050766,0.4196784496307373,0.2450173795223236,0,4515
41,-0.43019136786460876,0.4165612459182739,0.17012156546115875,0,2967
42,0.13348214328289032,0.42659470438957214,0.2864361107349396,1,30288
43,0.20899483561515808,0.4616805613040924,0.2661765515804291,1,30454
44,0.3109740614891052,0.47232308983802795,0.22463776171207428,1,30662
45,0.42552632093429565,0.45278939604759216,0.1474165916442871,1,31056
46,0.507930338382721,0.37286996841430664,0.04996487498283386,1,31716
47,0.42618486285209656,0.40549975633621216,0.17562955617904663,1,13141
48,0.3148016929626465,0.4119231402873993,0.24780575931072235,1,11593
49,0.22191691398620605,0.4004083573818207,0.26029568910598755,1,30488
50,0.14064252376556396,0.3987157642841339,0.2784711420536041,1,30318
51,0.005038905423134565,0.25475072860717773,0.31279706954956055,1,8161
52,0.003303158562630415,0.17584815621376038,0.36317524313926697,1,8174
53,0.004022673238068819,0.07637681066989899,0.4313279986381531,1,8185
54,0.006342030130326748,0.012556007131934166,0.4796782433986664,1,8190
55,-0.06307131052017212,0.22165736556053162,0.2489309161901474,0,7082
56,-0.09641528129577637,0.03753545135259628,0.3331533968448639,0,6743
57,-0.1231212317943573,-0.03907278925180435,0.25280526280403137,0,5485
58,-0.08348208665847778,-0.11630763858556747,0.3164019286632538,0,6637
59,-0.02577284723520279,-0.1223205178976059,0.3741849362850189,0,7842
60,0.0036055969540029764,-0.15295284986495972,0.3714478015899658,1,8204
61,0.02733737975358963,-0.12549768388271332,0.3733649253845215,1,8562
62,0.08477545529603958,-0.12325958162546158,0.3103426396846771,1,9762
63,0.12928873300552368,-0.04690275341272354,0.2518129348754883,1,10886
64,0.10497438907623291,0.03227902203798294,0.3303828835487366,1,9626
65,0.0681825652718544,0.2178926318883896,0.25278422236442566,1,9242
66,-0.35415080189704895,0.27613747119903564,0.11115220934152603,0,2215
67,-0.305281400680542,0.3212810158729553,0.17247118055820465,0,3888
68,-0.2616213262081146,0.3392666280269623,0.19542694091796875,0,4661
69,-0.20532678067684174,0.3130528926849365,0.18460245430469513,0,5439
70,-0.1517837941646576,0.26431018114089966,0.15633510053157806,0,6215
71,-0.19343873858451843,0.25673502683639526,0.17942634224891663,0,5191
72,-0.24542418122291565,0.25878146290779114,0.1798212230205536,0,4416
73,-0.2956927418708801,0.25953561067581177,0.1625625044107437,0,3642
74,-0.24725733697414398,0.3056095242500305,0.19358766078948975,0,4666
75,0.12721781432628632,0.2619282305240631,0.16373319923877716,0,10077
76,0.18072429299354553,0.30475914478302,0.1886715441942215,0,10969
77,0.22918377816677094,0.3319854736328125,0.1890796571969986,1,11610
78,0.28949469327926636,0.31288111209869385,0.16926662623882294,1,12514
79,0.3559221625328064,0.2689545154571533,0.10747401416301727,0,14066
80,0.28821417689323425,0.251116544008255,0.15139076113700867,0,12784
81,0.22713246941566467,0.25008246302604675,0.1732524186372757,1,11881
82,0.17958249151706696,0.2544971704483032,0.175618976354599,1,11236
83,0.20896583795547485,0.2929496765136719,0.18804672360420227,0,11487
84,-0.23215395212173462,-0.3526863157749176,0.18653354048728943,0,5522
85,-0.13306520879268646,-0.30165377259254456,0.28998830914497375,0,6025
86,-0.041119225323200226,-0.27712228894233704,0.33836424350738525,1,7495
87,-0.0004624337889254093,-0.2886162996292114,0.3441179692745209,1,8215
88,0.03876020759344101,-0.2778613269329071,0.34189292788505554,1,8935
89,0.11355024576187134,-0.3017558455467224,0.29844385385513306,1,10395
90,0.186406672000885,-0.35060998797416687,0.20201143622398376,0,10795
91,0.11244497448205948,-0.37425118684768677,0.27271977066993713,1,9555
92,0.05264851450920105,-0.39525091648101807,0.30222582817077637,1,8836
93,-0.019265856593847275,-0.40049514174461365,0.3097812533378601,1,8236
94,-0.09424421191215515,-0.39390328526496887,0.3010402321815491,1,7636
95,-0.15831446647644043,-0.37478122115135193,0.26745837926864624,0,6915
96,-0.2155551016330719,-0.3433419167995453,0.19434942305088043,0,5909
97,-0.06690467894077301,-0.32820117473602295,0.2935933470726013,0,7384
98,-0.0069688474759459496,-0.32567650079727173,0.30841726064682007,0,8223
99,0.04897676035761833,-0.3283059000968933,0.2947373688220978,1,9064
100,0.17803260684013367,-0.34465330839157104,0.20795492827892303,0,10537
101,0.044747237116098404,-0.33922621607780457,0.28451278805732727,1,8829
102,-0.012045038864016533,-0.341721773147583,0.2954147458076477,1,8229
103,-0.08151018619537354,-0.34089916944503784,0.28355398774147034,1,7629
104,-0.251971036195755,0.298801451921463,0.1922689825296402,0,4538
105,0.22430157661437988,0.2928955554962158,0.18687346577644348,1,11745
